8:00:01,64
8:00:01,68
8:13:19,64
8:13:20,56
8:33:07,61
8:45:56,62
9:00:01,70
9:13:19,67
9:13:20,73
9:33:07,57
9:43:51,64
9:45:56,74
10:00:01,74
10:13:19,75
10:13:20,58
10:33:07,65
10:45:56,74
11:00:01,71
11:13:19,61
11:13:20,55
11:33:07,63
11:43:51,68
11:45:56,77
12:00:01,68
12:13:19,65
12:13:20,70
12:43:51,67
12:45:56,65
13:00:01,65
13:13:20,59
13:33:07,59
13:43:51,64
13:45:56,69
14:13:20,70
14:33:07,71
14:43:51,64
14:45:56,62
15:00:01,60
15:13:19,78
15:13:20,74
15:33:07,66
15:43:51,66
15:45:56,62
